timestamp,uuid,signalName,customerDesignation,value,unitSymbol
2026-07-28T21:00:00Z,60d9dba0-601f-427c-b57c-35fbac327bf2,Gate opening,BUD2MEX41.CG310.XJ02,62.007582677205406,%
2026-07-28T20:00:00Z,60d9dba0-601f-427c-b57c-35fbac327bf2,Gate opening,BUD2MEX41.CG310.XJ02,52.53939129511515,%
2026-07-28T19:00:00Z,60d9dba0-601f-427c-b57c-35fbac327bf2,Gate opening,BUD2MEX41.CG310.XJ02,52.96324720584246,%
2026-07-28T18:00:00Z,60d9dba0-601f-427c-b57c-35fbac327bf2,Gate opening,BUD2MEX41.CG310.XJ02,54.45644598585669,%
2026-07-28T17:00:00Z,60d9dba0-601f-427c-b57c-35fbac327bf2,Gate opening,BUD2MEX41.CG310.XJ02,47.04263426819356,%
2026-07-28T16:00:00Z,60d9dba0-601f-427c-b57c-35fbac327bf2,Gate opening,BUD2MEX41.CG310.XJ02,51.63287402047051,%
2026-07-28T15:00:00Z,60d9dba0-601f-427c-b57c-35fbac327bf2,Gate opening,BUD2MEX41.CG310.XJ02,51.678145535786946,%
2026-07-28T14:00:00Z,60d9dba0-601f-427c-b57c-35fbac327bf2,Gate opening,BUD2MEX41.CG310.XJ02,57.89961861292521,%
2026-07-28T13:00:00Z,60d9dba0-601f-427c-b57c-35fbac327bf2,Gate opening,BUD2MEX41.CG310.XJ02,65.26703849906986,%
2026-07-28T12:00:00Z,60d9dba0-601f-427c-b57c-35fbac327bf2,Gate opening,BUD2MEX41.CG310.XJ02,68.57943212574926,%
2026-07-28T11:00:00Z,60d9dba0-601f-427c-b57c-35fbac327bf2,Gate opening,BUD2MEX41.CG310.XJ02,61.607740800645615,%
2026-07-28T10:00:00Z,60d9dba0-601f-427c-b57c-35fbac327bf2,Gate opening,BUD2MEX41.CG310.XJ02,55.41617855072022,%
2026-07-28T09:00:00Z,60d9dba0-601f-427c-b57c-35fbac327bf2,Gate opening,BUD2MEX41.CG310.XJ02,52.466210007137725,%
2026-07-28T08:00:00Z,60d9dba0-601f-427c-b57c-35fbac327bf2,Gate opening,BUD2MEX41.CG310.XJ02,61.81220499179707,%
2026-07-28T07:00:00Z,60d9dba0-601f-427c-b57c-35fbac327bf2,Gate opening,BUD2MEX41.CG310.XJ02,58.19020746177007,%
2026-07-28T06:00:00Z,60d9dba0-601f-427c-b57c-35fbac327bf2,Gate opening,BUD2MEX41.CG310.XJ02,55.93131391388499,%
2026-07-28T05:00:00Z,60d9dba0-601f-427c-b57c-35fbac327bf2,Gate opening,BUD2MEX41.CG310.XJ02,53.87151565254894,%
2026-07-28T04:00:00Z,60d9dba0-601f-427c-b57c-35fbac327bf2,Gate opening,BUD2MEX41.CG310.XJ02,51.87543742921617,%
2026-07-28T03:00:00Z,60d9dba0-601f-427c-b57c-35fbac327bf2,Gate opening,BUD2MEX41.CG310.XJ02,46.48101799223158,%
2026-07-28T02:00:00Z,60d9dba0-601f-427c-b57c-35fbac327bf2,Gate opening,BUD2MEX41.CG310.XJ02,46.00237349404229,%
2026-07-28T01:00:00Z,60d9dba0-601f-427c-b57c-35fbac327bf2,Gate opening,BUD2MEX41.CG310.XJ02,45.6393107647366,%
2026-07-28T00:00:00Z,60d9dba0-601f-427c-b57c-35fbac327bf2,Gate opening,BUD2MEX41.CG310.XJ02,45.83601842501748,%
2026-07-27T23:00:00Z,60d9dba0-601f-427c-b57c-35fbac327bf2,Gate opening,BUD2MEX41.CG310.XJ02,45.40890337350174,%
2026-07-27T22:00:00Z,60d9dba0-601f-427c-b57c-35fbac327bf2,Gate opening,BUD2MEX41.CG310.XJ02,45.419138760036894,%
2026-07-27T21:00:00Z,60d9dba0-601f-427c-b57c-35fbac327bf2,Gate opening,BUD2MEX41.CG310.XJ02,47.59983763800727,%
2026-07-27T20:00:00Z,60d9dba0-601f-427c-b57c-35fbac327bf2,Gate opening,BUD2MEX41.CG310.XJ02,49.021383449857666,%
2026-07-27T19:00:00Z,60d9dba0-601f-427c-b57c-35fbac327bf2,Gate opening,BUD2MEX41.CG310.XJ02,47.01890840047992,%
2026-07-27T18:00:00Z,60d9dba0-601f-427c-b57c-35fbac327bf2,Gate opening,BUD2MEX41.CG310.XJ02,46.48923062191466,%
2026-07-27T17:00:00Z,60d9dba0-601f-427c-b57c-35fbac327bf2,Gate opening,BUD2MEX41.CG310.XJ02,45.80856647003479,%
2026-07-27T16:00:00Z,60d9dba0-601f-427c-b57c-35fbac327bf2,Gate opening,BUD2MEX41.CG310.XJ02,47.71115763982137,%
2026-07-27T15:00:00Z,60d9dba0-601f-427c-b57c-35fbac327bf2,Gate opening,BUD2MEX41.CG310.XJ02,49.16398461871677,%
2026-07-27T14:00:00Z,60d9dba0-601f-427c-b57c-35fbac327bf2,Gate opening,BUD2MEX41.CG310.XJ02,50.53502833783593,%
2026-07-27T13:00:00Z,60d9dba0-601f-427c-b57c-35fbac327bf2,Gate opening,BUD2MEX41.CG310.XJ02,73.9086143620809,%
2026-07-27T12:00:00Z,60d9dba0-601f-427c-b57c-35fbac327bf2,Gate opening,BUD2MEX41.CG310.XJ02,60.36981368687764,%
2026-07-27T11:00:00Z,60d9dba0-601f-427c-b57c-35fbac327bf2,Gate opening,BUD2MEX41.CG310.XJ02,49.01319121254815,%
2026-07-27T10:00:00Z,60d9dba0-601f-427c-b57c-35fbac327bf2,Gate opening,BUD2MEX41.CG310.XJ02,52.25496344672309,%
2026-07-27T09:00:00Z,60d9dba0-601f-427c-b57c-35fbac327bf2,Gate opening,BUD2MEX41.CG310.XJ02,60.7993743748135,%
2026-07-27T08:00:00Z,60d9dba0-601f-427c-b57c-35fbac327bf2,Gate opening,BUD2MEX41.CG310.XJ02,51.79080347566885,%
2026-07-27T07:00:00Z,60d9dba0-601f-427c-b57c-35fbac327bf2,Gate opening,BUD2MEX41.CG310.XJ02,45.52674945875828,%
2026-07-27T06:00:00Z,60d9dba0-601f-427c-b57c-35fbac327bf2,Gate opening,BUD2MEX41.CG310.XJ02,45.39358524746365,%
2026-07-27T05:00:00Z,60d9dba0-601f-427c-b57c-35fbac327bf2,Gate opening,BUD2MEX41.CG310.XJ02,45.39128069323656,%
2026-07-27T04:00:00Z,60d9dba0-601f-427c-b57c-35fbac327bf2,Gate opening,BUD2MEX41.CG310.XJ02,45.38330210579766,%
2026-07-27T03:00:00Z,60d9dba0-601f-427c-b57c-35fbac327bf2,Gate opening,BUD2MEX41.CG310.XJ02,45.377019254896375,%
2026-07-27T02:00:00Z,60d9dba0-601f-427c-b57c-35fbac327bf2,Gate opening,BUD2MEX41.CG310.XJ02,45.377751194019325,%
2026-07-27T01:00:00Z,60d9dba0-601f-427c-b57c-35fbac327bf2,Gate opening,BUD2MEX41.CG310.XJ02,45.378874672783745,%
2026-07-27T00:00:00Z,60d9dba0-601f-427c-b57c-35fbac327bf2,Gate opening,BUD2MEX41.CG310.XJ02,45.42393175760905,%
2026-07-26T23:00:00Z,60d9dba0-601f-427c-b57c-35fbac327bf2,Gate opening,BUD2MEX41.CG310.XJ02,49.9104887093438,%
2026-07-26T22:00:00Z,60d9dba0-601f-427c-b57c-35fbac327bf2,Gate opening,BUD2MEX41.CG310.XJ02,48.52946649437947,%
2026-07-26T21:00:00Z,60d9dba0-601f-427c-b57c-35fbac327bf2,Gate opening,BUD2MEX41.CG310.XJ02,56.06494416496103,%
2026-07-26T20:00:00Z,60d9dba0-601f-427c-b57c-35fbac327bf2,Gate opening,BUD2MEX41.CG310.XJ02,55.60239887449477,%
2026-07-26T19:00:00Z,60d9dba0-601f-427c-b57c-35fbac327bf2,Gate opening,BUD2MEX41.CG310.XJ02,48.14364255927441,%
2026-07-26T18:00:00Z,60d9dba0-601f-427c-b57c-35fbac327bf2,Gate opening,BUD2MEX41.CG310.XJ02,47.963014189402266,%
